Smu Algae.3, Smu Rotifers.3,Smu Algae.16,Smu Rotifers.16,Smu Algae.35,Smu Rotifers.35,Smu Algae.45,Smu Rotifers.45
115906.8313,0.558496188,197886.1436,0.160262687,62913.77915,0.812682018,73908.7445,3.630591003
394802.4426,0.808063981,163061.259,0.39802009,120567.0866,0.685811645,107169.6501,2.836650312
733443.4621,1.009827151,149704.382,0.513681997,211911.2761,0.717596244,156549.1722,2.071625047
1104342.84,1.370688031,153671.6467,0.419721602,341330.9691,1.000755494,201360.9515,1.712841505
1348508.731,2.133732511,136289.69,0.241577763,448252.6149,1.661452238,200015.3731,1.85038303
1354809.862,3.12919939,112798.5812,0.132202581,496581.8025,3.051513229,181382.3585,2.517796907
1134908.158,4.278969545,101239.2286,0.155930004,426815.6795,5.294349719,164020.0511,3.480433214
767692.2725,5.713495843,101037.982,0.280437168,270447.9033,7.880852396,140115.5901,4.518142975
393543.5139,7.009400311,100875.0344,0.434320857,138026.0014,8.789555012,118044.8583,5.130044208
157904.1933,6.623751377,100422.875,0.48359634,72322.43005,7.100589808,112057.8365,5.10505647
62867.16825,4.922790964,94313.70218,0.548916108,50668.58603,4.350015949,137087.653,4.673464459
44327.19769,2.996853665,85282.59355,0.929970125,53755.74161,2.199969036,210151.6403,4.255234369
70579.76593,1.654251768,93046.91136,1.567182764,79260.7644,1.043390115,301530.3071,4.538072982
118984.6184,1.071377181,90574.99184,2.000162837,108577.6013,0.567175512,306866.7177,5.305248341
213864.3785,1.016074794,84116.82542,2.047561427,150907.3329,0.535670299,254092.8862,6.511213767
382744.3791,1.222377237,94243.71928,1.80381801,218259.6757,1.081585956,205342.6009,7.453574029
604323.1551,1.698300002,143462.5469,1.60637997,296975.0858,2.295179924,163860.1836,7.64492276
768267.3128,2.788751543,235158.4334,1.845528293,329959.1718,4.055426569,133398.5301,7.369994322
718333.0155,4.594945941,292557.8148,2.22856524,278079.5705,5.913773805,154334.0498,6.907491021
469039.6086,6.924792145,201329.6157,2.21333032,180335.0418,7.124821376,256419.8768,6.476856168
220209.1221,8.851438241,103134.122,1.882556097,90514.60002,7.022593933,373897.8979,5.796911592
105609.8345,8.39960096,75255.14404,1.551333552,59835.05195,5.6238046,351389.3672,5.682557277
131986.8834,6.087128521,131813.0577,1.483035416,109652.3505,3.890276345,307740.2414,6.316563571
276033.7087,3.913491594,288283.8287,1.698583144,254835.4289,2.558449178,382297.0481,7.198586708
481573.2084,2.967463199,488921.3748,2.266470155,445368.2849,2.147200522,581927.8143,7.837215098
542534.2421,2.873691551,516830.3461,3.047095548,493081.828,2.091073057,669012.601,7.72251656
446193.8397,3.743856258,375284.2561,3.646787404,392864.1926,2.09419408,618776.7922,7.511530147
325141.524,5.693965301,220399.4806,3.519284437,269172.4159,2.261580802,539831.6478,8.076062394
250588.8394,7.826969591,132583.3893,2.831676733,188198.2195,2.669028476,525767.7068,9.192043975
213819.8287,9.538613693,95546.96749,2.141456121,127251.946,3.056451899,427393.3719,10.34837832
219565.6978,10.13507738,100089.614,1.6233168,98093.90742,3.345542078,376796.8402,11.72221849
237031.186,9.187153797,114426.3438,1.44182645,94909.4225,3.820940869,343731.1277,13.44634953
245083.8365,7.502028333,118771.4453,1.805190626,95176.12072,4.28347477,291981.7733,15.18208513
234900.1342,6.449053182,111467.1566,2.547238756,83828.12894,4.344109329,210755.319,15.96546724
240629.6044,5.942454356,106640.2682,2.997776471,87388.01644,3.704094438,172311.814,15.40226789
250870.926,5.802123519,108840.7816,2.807285304,104139.2612,2.784504153,188394.172,13.99880217
255544.9837,6.373187961,114858.6044,2.307423125,115303.3241,2.12409166,244597.523,12.76617268
255050.4429,7.441286756,123681.0038,1.887633235,121977.309,1.981237576,307152.9231,11.63864745
250302.642,8.426031275,128368.4791,1.813245615,124490.9272,2.663356823,273791.8546,11.65700414
245206.2173,8.312869588,125764.717,2.207966827,125402.9486,3.516103089,196355.7132,12.2850848
242310.3915,7.521281707,116450.6424,3.090982781,125378.2013,4.219664755,116862.4199,12.75527197
